"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\TestApp\App.js", "JavaScript", 2, 0, -1, 1
"h:\TestApp\src\screens\BoxScreen.js", "JavaScript", 42, 0, 4, 46
"h:\TestApp\src\screens\HomeScreen.js", "JavaScript", 8, 0, 0, 8
"h:\TestApp\src\screens\TextScreen.js", "JavaScript", 8, 5, -1, 12
"Total", "-", 60, 5, 2, 67
