"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\TestApp\App.js", "JavaScript", 2, 0, 1, 3
"h:\TestApp\src\components\ColorCounter.js", "JavaScript", 20, 3, 7, 30
"h:\TestApp\src\screens\ColorScreen.js", "JavaScript", 4, 5, -1, 8
"h:\TestApp\src\screens\HomeScreen.js", "JavaScript", 4, 0, 1, 5
"h:\TestApp\src\screens\SquareScreen.js", "JavaScript", 50, 16, 11, 77
"Total", "-", 80, 24, 19, 123
