"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\TestApp\App.js", "JavaScript", 2, 0, 0, 2
"h:\TestApp\src\screens\ColorScreen.js", "JavaScript", -1, 1, 0, 0
"h:\TestApp\src\screens\CounterScreen.js", "JavaScript", 9, 30, 1, 40
"h:\TestApp\src\screens\HomeScreen.js", "JavaScript", 4, 0, 0, 4
"h:\TestApp\src\screens\TextScreen.js", "JavaScript", 25, 1, 7, 33
"Total", "-", 39, 32, 8, 79
