"filename", "language", "JavaScript", "comment", "blank", "total"
"h:\TestApp\src\screens\SquareScreen.js", "JavaScript", -2, 14, -3, 9
"h:\TestApp\src\screens\SquareScreenWithoutReducer.js", "JavaScript", 0, 105, 2, 107
"Total", "-", -2, 119, -1, 116
